CaseAddress,CaseNumber,CaseReport_DateTime,CaseOffenseStatute,CaseAssignmentType
500 BLOCK N ATLANTIC BLVD,2024-00013514,4/17/2024 9:45,10851(A) VC-F,AUTO BURGLARY
500 BLOCK N ATLANTIC BLVD,2024-00011800,4/2/2024 21:32,459 PC-F,AUTO BURGLARY
2000 BLOCK MARKET PLACE DR,2024-00011908,4/3/2024 15:50,459 PC-F,AUTO BURGLARY
2000 BLOCK MARKET PLACE DR,2024-00011915,4/3/2024 16:32,459 PC-F,AUTO BURGLARY
500 BLOCK N ATLANTIC BLVD,2024-00012057,4/4/2024 22:43,459 PC-F,AUTO BURGLARY
2300 BLOCK WOODS AVE,2024-00012128,4/5/2024 12:31,459 PC-F,AUTO BURGLARY
3500 BLOCK RAMONA BLVD,2024-00012384,4/7/2024 13:05,459 PC-F,AUTO BURGLARY
300 BLOCK N GARFIELD AVE,2024-00012389,4/7/2024 14:19,459 PC-F,AUTO BURGLARY
3600 BLOCK RAMONA BLVD,2024-00012390,4/7/2024 15:09,459 PC-F,AUTO BURGLARY
800 BLOCK S ATLANTIC BLVD,2024-00012505,4/8/2024 16:21,459 PC-F,AUTO BURGLARY
800 BLOCK S ATLANTIC BLVD,2024-00012616,4/9/2024 18:25,459 PC-F,AUTO BURGLARY
500 BLOCK N ATLANTIC BLVD,2024-00012638,4/9/2024 22:27,459 PC-F,AUTO BURGLARY
300 BLOCK E GRAVES AVE,2024-00012718,4/10/2024 14:26,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00012740,4/10/2024 17:27,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00012736,4/10/2024 17:27,459 PC-F,AUTO BURGLARY
500 BLOCK N ATLANTIC BLVD,2024-00012755,4/10/2024 18:03,459 PC-F,AUTO BURGLARY
300 BLOCK KINGSFORD ST,2024-00012806,4/11/2024 10:08,459 PC-F,AUTO BURGLARY
1000 BLOCK E NEWMARK AVE,2024-00013215,4/15/2024 7:59,459 PC-F,AUTO BURGLARY
500 BLOCK E GARVEY AVE,2024-00013676,4/18/2024 13:00,459 PC-F,AUTO BURGLARY
3600 BLOCK RAMONA BLVD,2024-00013713,4/18/2024 17:27,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00013787,4/19/2024 11:08,459 PC-F,AUTO BURGLARY
400 BLOCK N YNEZ AVE,2024-00014237,4/23/2024 7:52,459 PC-F,AUTO BURGLARY
2200 BLOCK S ATLANTIC BLVD,2024-00014668,4/26/2024 12:11,459 PC-F,AUTO BURGLARY
200 BLOCK N GARFIELD AVE,2024-00014717,4/26/2024 19:20,459 PC-F,AUTO BURGLARY
800 BLOCK W MABEL AVE,2024-00011714,4/2/2024 5:51,10851(A) VC-F,AUTO THEFT
2300 BLOCK ISABELLA AVE,2024-00011954,4/4/2024 3:12,10851(A) VC-F,AUTO THEFT
2000 BLOCK S GARFIELD AVE,2024-00012354,4/7/2024 4:55,10851(A) VC-F,AUTO THEFT
600 BLOCK BRADSHAWE AVE,2024-00012496,4/8/2024 14:38,10851(A) VC-F,AUTO THEFT
HERSHEY AVE / N NEW AVE,2024-00012581,4/9/2024 12:18,10851(A) VC-F,AUTO THEFT
300 BLOCK S ORANGE AVE,2024-00012594,4/9/2024 14:59,10851(A) VC-F,AUTO THEFT
W HELLMAN AVE / N MOORE AVE,2024-00012659,4/10/2024 3:50,10851(A) VC-F,AUTO THEFT
700 BLOCK W GARVEY AVE,2024-00013237,4/15/2024 9:56,10851(A) VC-F,AUTO THEFT
1600 BLOCK COLLEGE VIEW DR,2024-00013364,4/16/2024 6:09,10851(A) VC-F,AUTO THEFT
1100 BLOCK SAN PATRICIO DR,2024-00013464,4/16/2024 20:13,10851(A) VC-F,AUTO THEFT
500 BLOCK E GRAVES AVE,2024-00013524,4/17/2024 11:20,10851(A) VC-F,AUTO THEFT
E EMERSON AVE / N NICHOLSON AVE,2024-00014049,4/21/2024 17:52,10851(A) VC-F,AUTO THEFT
200 BLOCK W GARVEY AVE,2024-00014323,4/23/2024 19:20,10851(A) VC-F,AUTO THEFT
600 BLOCK S GARFIELD AVE,2024-00014922,4/28/2024 12:51,10851(A) VC-F,AUTO THEFT
500 BLOCK N GARFIELD AVE,2024-00011711,4/2/2024 4:35,459 PC-F,BURGLARY COM
500 BLOCK N GARFIELD AVE,2024-00011705,4/2/2024 4:35,459 PC-F,BURGLARY COM
1000 BLOCK POTRERO GRANDE DR,2024-00012522,4/8/2024 21:03,459 PC-F,BURGLARY COM
4400 BLOCK RAMONA BLVD,2024-00012585,4/9/2024 13:08,459 PC-F,BURGLARY COM
500 BLOCK W GARVEY AVE,2024-00012844,4/11/2024 13:34,459 PC-F,BURGLARY COM
300 BLOCK E GARVEY AVE,2024-00013052,4/13/2024 6:26,459 PC-F,BURGLARY COM
100 BLOCK W HELLMAN AVE,2024-00013136,4/14/2024 6:06,459 PC-F,BURGLARY COM
2300 BLOCK S GARFIELD AVE,2024-00013760,4/19/2024 5:37,459 PC-F,BURGLARY COM
800 BLOCK E GARVEY AVE,2024-00014385,4/24/2024 10:22,459 PC-F,BURGLARY COM
1100 BLOCK W RIGGIN ST,2024-00014766,4/27/2024 5:45,459 PC-F,BURGLARY COM
100 BLOCK W GARVEY AVE,2024-00015074,4/30/2024 2:15,459 PC-F,BURGLARY COM
2000 BLOCK MARKET PLACE DR,2024-00012583,4/9/2024 13:05,487(A) PC-F,BURGLARY COM
2000 BLOCK MARKET PLACE DR,2024-00012969,4/12/2024 13:04,487(A) PC-F,BURGLARY COM
3500 BLOCK MARKET PLACE DR,2024-00013243,4/15/2024 10:35,487(A) PC-F,BURGLARY COM
2000 BLOCK MARKET PLACE DR,2024-00013321,4/15/2024 19:03,487(A) PC-F,BURGLARY COM
3500 BLOCK MARKET PLACE DR,2024-00014095,4/22/2024 10:00,487(A) PC-F,BURGLARY COM
2300 BLOCK S ATLANTIC BLVD,2024-00014544,4/25/2024 14:42,487(A) PC-F,BURGLARY COM
500 BLOCK ARBOLES ST,2024-00012001,4/4/2024 12:14,459 PC-F,BURGLARY RES
200 BLOCK S CHANDLER AVE,2024-00012025,4/4/2024 15:16,459 PC-F,BURGLARY RES
800 BLOCK DE LA FUENTE ST,2024-00012147,4/5/2024 14:54,459 PC-F,BURGLARY RES
400 BLOCK N BALTIMORE AVE,2024-00012299,4/6/2024 20:11,459 PC-F,BURGLARY RES
1500 BLOCK SUNRISE DR,2024-00012517,4/8/2024 19:41,459 PC-F,BURGLARY RES
800 BLOCK ACKLEY ST,2024-00012751,4/10/2024 19:17,459 PC-F,BURGLARY RES
1300 BLOCK WILCOX AVE,2024-00012999,4/12/2024 16:21,459 PC-F,BURGLARY RES
300 BLOCK ROCA WAY,2024-00013594,4/17/2024 22:08,459 PC-F,BURGLARY RES
600 BLOCK DE LA FUENTE ST,2024-00013740,4/18/2024 22:43,459 PC-F,BURGLARY RES
200 BLOCK W MARKLAND DR,2024-00013981,4/20/2024 22:16,459 PC-F,BURGLARY RES
1000 BLOCK RIDGECREST ST,2024-00014014,4/21/2024 7:00,459 PC-F,BURGLARY RES
1300 BLOCK S ATLANTIC BLVD,2024-00014308,4/23/2024 17:20,459 PC-F,BURGLARY RES
300 BLOCK E FLORAL DR,2024-00014697,4/26/2024 16:24,459 PC-F,BURGLARY RES
1600 BLOCK SOMBRERO DR,2024-00014843,4/27/2024 21:27,459 PC-F,BURGLARY RES
400 BLOCK W EL REPETTO DR,2024-00014860,4/27/2024 23:00,459 PC-F,BURGLARY RES
400 BLOCK N LINCOLN AVE,2024-00014993,4/29/2024 9:52,459 PC-F,BURGLARY RES
100 BLOCK N LINCOLN AVE,2024-00011792,4/2/2024 18:53,211 PC-F,ROBBERY
S GARFIELD AVE / W EL REPETTO DR,2024-00012176,4/5/2024 20:14,211 PC-F,ROBBERY
2200 BLOCK S ATLANTIC BLVD,2024-00012271,4/6/2024 15:28,211 PC-F,ROBBERY
200 BLOCK E POMONA BLVD,2024-00012532,4/9/2024 0:13,211 PC-F,ROBBERY
2100 BLOCK S ATLANTIC BLVD,2024-00013600,4/17/2024 23:11,211 PC-F,ROBBERY
2200 BLOCK S ATLANTIC BLVD,2024-00014934,4/28/2024 15:39,211 PC-F,ROBBERY
2000 BLOCK MARKET PLACE DR,2024-00028690,8/9/2024 18:06,459 PC-F,AUTO BURGLARY
400 BLOCK S GARFIELD AVE,2024-00029317,8/14/2024 12:33,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00029336,8/14/2024 15:16,459 PC-F,AUTO BURGLARY
400 BLOCK W RIGGIN ST,2024-00029467,8/15/2024 12:20,459 PC-F,AUTO BURGLARY
1600 BLOCK COLLEGE VIEW DR,2024-00029823,8/18/2024 2:11,459 PC-F,AUTO BURGLARY
300 BLOCK N ATLANTIC BLVD,2024-00029906,8/18/2024 22:42,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00030094,8/20/2024 10:54,459 PC-F,AUTO BURGLARY
300 BLOCK S ORANGE AVE,2024-00030506,8/23/2024 14:36,459 PC-F,AUTO BURGLARY
200 BLOCK E HELLMAN AVE,2024-00031210,8/28/2024 18:56,459 PC-F,AUTO BURGLARY
3500 BLOCK MARKET PLACE DR,2024-00028110,8/5/2024 12:12,487(A) PC-F,AUTO BURGLARY
900 BLOCK S ATLANTIC BLVD,2024-00027898,8/3/2024 10:04,10851(A) VC-F,AUTO THEFT
100 BLOCK CASUDA CANYON DR,2024-00028142,8/5/2024 16:47,10851(A) VC-F,AUTO THEFT
300 BLOCK S GARFIELD AVE,2024-00028263,8/6/2024 14:26,10851(A) VC-F,AUTO THEFT
700 BLOCK RIDGESIDE DR,2024-00028797,8/10/2024 13:57,10851(A) VC-F,AUTO THEFT
2300 BLOCK WOODS AVE,2024-00030152,8/20/2024 22:31,10851(A) VC-F,AUTO THEFT
500 BLOCK N GARFIELD AVE,2024-00030401,8/22/2024 17:26,10851(A) VC-F,AUTO THEFT
100 BLOCK W RIGGIN ST,2024-00030848,8/26/2024 6:27,10851(A) VC-F,AUTO THEFT
W EMERSON AVE / N MCPHERRIN AVE,2024-00030921,8/26/2024 17:04,10851(A) VC-F,AUTO THEFT
4400 BLOCK RAMONA BLVD,2024-00028260,8/6/2024 13:55,459 PC-F,BURGLARY COM
500 BLOCK W GARVEY AVE,2024-00028877,8/11/2024 4:08,459 PC-F,BURGLARY COM
1900 BLOCK S ATLANTIC BLVD,2024-00029845,8/18/2024 9:00,459 PC-F,BURGLARY COM
4400 BLOCK RAMONA BLVD,2024-00030113,8/20/2024 15:11,459 PC-F,BURGLARY COM
1900 BLOCK POTRERO GRANDE DR,2024-00030208,8/21/2024 9:27,459 PC-F,BURGLARY COM
200 BLOCK S GARFIELD AVE,2024-00030743,8/25/2024 9:48,459 PC-F,BURGLARY COM
200 BLOCK S GARFIELD AVE,2024-00030746,8/25/2024 9:48,459 PC-F,BURGLARY COM
200 BLOCK S GARFIELD AVE,2024-00030738,8/25/2024 9:48,459 PC-F,BURGLARY COM
200 BLOCK S GARFIELD AVE,2024-00030745,8/25/2024 9:48,459 PC-F,BURGLARY COM
2000 BLOCK MARKET PLACE DR,2024-00028030,8/4/2024 13:33,487(A) PC-F,BURGLARY COM
600 BLOCK N LINCOLN AVE,2024-00027810,8/2/2024 21:06,459 PC-F,BURGLARY RES
1500 BLOCK COLLEGE VIEW DR,2024-00028329,8/7/2024 0:35,459 PC-F,BURGLARY RES
600 BLOCK ACKLEY ST,2024-00028386,8/7/2024 13:19,459 PC-F,BURGLARY RES
200 BLOCK S ORANGE AVE,2024-00028385,8/7/2024 13:20,459 PC-F,BURGLARY RES
1000 BLOCK BRADSHAWE AVE,2024-00029090,8/12/2024 21:21,459 PC-F,BURGLARY RES
1000 BLOCK GRANDRIDGE AVE,2024-00029679,8/16/2024 22:53,459 PC-F,BURGLARY RES
1200 BLOCK PUNTA WAY,2024-00029767,8/17/2024 15:55,459 PC-F,BURGLARY RES
500 BLOCK N ALHAMBRA AVE,2024-00029842,8/18/2024 8:42,459 PC-F,BURGLARY RES
1000 BLOCK ISABELLA AVE,2024-00030793,8/25/2024 20:36,459 PC-F,BURGLARY RES
700 BLOCK TAYLOR DR,2024-00031449,8/30/2024 16:54,459 PC-F,BURGLARY RES
200 BLOCK S CHANDLER AVE,2024-00031619,8/31/2024 22:25,459 PC-F,BURGLARY RES
500 BLOCK N MOORE AVE,2024-00028310,8/6/2024 22:39,211 PC-F,ROBBERY
500 BLOCK S ATLANTIC BLVD,2024-00029961,8/19/2024 11:06,211 PC-F,ROBBERY
1600 BLOCK MONTEREY PASS RD,2024-00030359,8/22/2024 11:12,211 PC-F,ROBBERY
S ATLANTIC BLVD / W GARVEY AVE,2024-00030667,8/24/2024 16:31,211 PC-F,ROBBERY
300 BLOCK S GARFIELD AVE,2024-00030851,8/26/2024 7:30,211 PC-F,ROBBERY
300 BLOCK S GARFIELD AVE,2024-00031163,8/28/2024 12:34,211 PC-F,ROBBERY
400 BLOCK S ATLANTIC BLVD,2024-00031313,8/29/2024 13:36,211 PC-F,ROBBERY
HARDING AVE / S MCPHERRIN AVE,2024-00045920,12/3/2024 9:17,459 PC-F,AUTO BURGLARY
100 BLOCK E NEWMARK AVE,2024-00045938,12/3/2024 11:44,459 PC-F,AUTO BURGLARY
1100 BLOCK E EMERSON AVE,2024-00046031,12/4/2024 5:07,459 PC-F,AUTO BURGLARY
200 BLOCK W FERNFIELD DR,2024-00046118,12/4/2024 16:52,459 PC-F,AUTO BURGLARY
300 BLOCK E FLORAL DR,2024-00046171,12/5/2024 5:16,459 PC-F,AUTO BURGLARY
400 BLOCK S ATLANTIC BLVD,2024-00046283,12/5/2024 20:20,459 PC-F,AUTO BURGLARY
300 BLOCK N MCPHERRIN AVE,2024-00046347,12/6/2024 9:01,459 PC-F,AUTO BURGLARY
200 BLOCK S ATLANTIC BLVD,2024-00046474,12/6/2024 22:27,459 PC-F,AUTO BURGLARY
300 BLOCK N ATLANTIC BLVD,2024-00046486,12/6/2024 23:58,459 PC-F,AUTO BURGLARY
1000 BLOCK S GARFIELD AVE,2024-00047042,12/11/2024 5:41,459 PC-F,AUTO BURGLARY
3500 BLOCK MARKET PLACE DR,2024-00047080,12/11/2024 10:36,459 PC-F,AUTO BURGLARY
2300 BLOCK S GARFIELD AVE,2024-00047112,12/11/2024 15:45,459 PC-F,AUTO BURGLARY
600 BLOCK N GARFIELD AVE,2024-00047115,12/11/2024 16:41,459 PC-F,AUTO BURGLARY
400 BLOCK W GARVEY AVE,2024-00047460,12/13/2024 20:42,459 PC-F,AUTO BURGLARY
200 BLOCK S ATLANTIC BLVD,2024-00047466,12/13/2024 22:01,459 PC-F,AUTO BURGLARY
300 BLOCK S GARFIELD AVE,2024-00047514,12/14/2024 10:07,459 PC-F,AUTO BURGLARY
2300 BLOCK S ATLANTIC BLVD,2024-00048064,12/18/2024 14:54,459 PC-F,AUTO BURGLARY
1700 BLOCK COLLEGE VIEW DR,2024-00048312,12/20/2024 5:42,459 PC-F,AUTO BURGLARY
2300 BLOCK BLEAKWOOD AVE,2024-00048341,12/20/2024 8:49,459 PC-F,AUTO BURGLARY
400 BLOCK S GARFIELD AVE,2024-00048425,12/20/2024 19:54,459 PC-F,AUTO BURGLARY
400 BLOCK S NEW AVE,2024-00048737,12/23/2024 10:45,459 PC-F,AUTO BURGLARY
500 BLOCK N ATLANTIC BLVD,2024-00048763,12/23/2024 14:16,459 PC-F,AUTO BURGLARY
200 BLOCK E MARKLAND DR,2024-00048781,12/23/2024 17:29,459 PC-F,AUTO BURGLARY
100 BLOCK E GARVEY AVE,2024-00049163,12/26/2024 22:05,459 PC-F,AUTO BURGLARY
400 BLOCK N NICHOLSON AVE,2024-00049248,12/27/2024 12:55,459 PC-F,AUTO BURGLARY
2000 BLOCK MARKET PLACE DR,2024-00049685,12/31/2024 10:41,459 PC-F,AUTO BURGLARY
300 BLOCK MONTECHICO DR,2024-00047194,12/12/2024 6:29,10851(A) VC-F,AUTO THEFT
600 BLOCK W MARKLAND DR,2024-00047345,12/13/2024 4:04,10851(A) VC-F,AUTO THEFT
1400 BLOCK KEMPTON AVE,2024-00047361,12/13/2024 8:07,10851(A) VC-F,AUTO THEFT
2300 BLOCK WESTCOTT AVE,2024-00047440,12/13/2024 17:15,10851(A) VC-F,AUTO THEFT
616 W HELLMAN AVE,2024-00047446,12/13/2024 18:07,10851(A) VC-F,AUTO THEFT
3500 BLOCK MARKET PLACE DR,2024-00047454,12/13/2024 18:35,10851(A) VC-F,AUTO THEFT
1700 BLOCK ROBINLINDA LN,2024-00047519,12/14/2024 10:34,10851(A) VC-F,AUTO THEFT
1700 BLOCK FULTON AVE,2024-00047837,12/17/2024 1:52,10851(A) VC-F,AUTO THEFT
300 BLOCK N LINCOLN AVE,2024-00047868,12/17/2024 8:16,10851(A) VC-F,AUTO THEFT
400 BLOCK E FERNFIELD DR,2024-00048040,12/18/2024 12:20,10851(A) VC-F,AUTO THEFT
500 BLOCK N ATLANTIC BLVD,2024-00048574,12/21/2024 23:10,10851(A) VC-F,AUTO THEFT
400 BLOCK N NICHOLSON AVE,2024-00048603,12/22/2024 7:28,10851(A) VC-F,AUTO THEFT
2300 BLOCK HILLVIEW AVE,2024-00048666,12/22/2024 20:20,10851(A) VC-F,AUTO THEFT
500 BLOCK N ATLANTIC BLVD,2024-00048793,12/23/2024 19:04,10851(A) VC-F,AUTO THEFT
300 BLOCK S GARFIELD AVE,2024-00048922,12/24/2024 18:53,10851(A) VC-F,AUTO THEFT
2300 BLOCK FULTON AVE,2024-00048993,12/25/2024 10:20,10851(A) VC-F,AUTO THEFT
100 BLOCK N ATLANTIC BLVD,2024-00047681,12/15/2024 21:19,459 PC-F,BURGLARY COM
700 BLOCK S ATLANTIC BLVD,2024-00048461,12/21/2024 2:55,459 PC-F,BURGLARY COM
100 BLOCK N CHANDLER AVE,2024-00048876,12/24/2024 9:19,459 PC-F,BURGLARY COM
500 BLOCK MONTEREY PASS RD,2024-00049590,12/30/2024 13:27,459 PC-F,BURGLARY COM
400 BLOCK SEFTON AVE,2024-00045816,12/2/2024 16:00,459 PC-F,BURGLARY RES
400 BLOCK HARDING AVE,2024-00045828,12/2/2024 18:16,459 PC-F,BURGLARY RES
200 BLOCK E FLORAL DR,2024-00046114,12/4/2024 16:37,459 PC-F,BURGLARY RES
700 BLOCK W GLEASON ST,2024-00046140,12/4/2024 21:33,459 PC-F,BURGLARY RES
2400 BLOCK FULTON AVE,2024-00046414,12/6/2024 15:11,459 PC-F,BURGLARY RES
